j,period_min_s,period_max_s,theta_hat_s,contrast_peak
1,0.1,0.2,0.05,0.0003562748112494454
2,0.2,0.4,0.05,0.0009158538230197036
3,0.4,0.8,0.05,0.003341869052472156
4,0.8,1.6,0.05,0.008403096224217933
5,1.6,3.2,0.1,0.014658523307251672
6,3.2,6.4,0.1,0.02137172988831964
7,6.4,12.8,0.1,0.028174861637392405
8,12.8,25.6,0.1,0.033596221699282246
