j,period_min_s,period_max_s,theta_hat_s,contrast_peak
1,0.1,0.2,0.0,0.0004131700988183023
2,0.2,0.4,0.05,0.0004251842016306437
3,0.4,0.8,0.05,0.0015842652455392153
4,0.8,1.6,0.05,0.0053456583159947205
5,1.6,3.2,0.05,0.009855012769789624
6,3.2,6.4,0.1,0.01559028281403166
7,6.4,12.8,0.2,0.021400921137024576
8,12.8,25.6,0.25,0.024934662138407934
