j,period_min_s,period_max_s,theta_hat_s,contrast_peak
1,0.1,0.2,-0.05,0.00024953375134696286
2,0.2,0.4,-0.15000000000000002,0.0006723511293462408
3,0.4,0.8,-0.2,0.0020550268437919098
4,0.8,1.6,-0.25,0.005832139928131121
5,1.6,3.2,-0.35000000000000003,0.016365492427559726
6,3.2,6.4,-0.4,0.05299222810789563
7,6.4,12.8,-0.4,0.17778338358341245
8,12.8,25.6,-0.30000000000000004,0.48490990347077195
