j,period_min_s,period_max_s,theta_hat_s,contrast_peak
1,0.1,0.2,0.0,1.2239148566871901e-05
2,0.2,0.4,0.0,2.2971615742553754e-05
3,0.4,0.8,0.0,6.209036776069158e-05
4,0.8,1.6,0.05,0.0002112945177976265
5,1.6,3.2,0.1,0.0005589045913871903
6,3.2,6.4,0.1,0.0012217657691425002
7,6.4,12.8,0.2,0.002309101436429587
8,12.8,25.6,0.35000000000000003,0.0035262199874012945
