j,period_min_s,period_max_s,theta_hat_s,contrast_peak
1,0.002,0.004,-0.038,2.3953790187434933e-07
2,0.004,0.008,-0.053,2.7598409872414695e-07
3,0.008,0.016,-0.058,3.3108977369140865e-07
4,0.016,0.032,-0.059000000000000004,6.375523760733641e-07
5,0.032,0.064,-0.046,1.0995069344859807e-06
6,0.064,0.128,-0.11900000000000001,4.34386065009783e-06
7,0.128,0.256,-0.046,1.4282344395697798e-05
8,0.256,0.512,-0.085,3.736457310480259e-05
