j,period_min_s,period_max_s,theta_hat_s,contrast_peak
1,0.1,0.2,-0.1,6.268013632259918e-05
2,0.2,0.4,0.0,0.00025846867646293534
3,0.4,0.8,0.0,0.0009373548891848493
4,0.8,1.6,0.0,0.0027679708335298933
5,1.6,3.2,0.0,0.006827686708452282
6,3.2,6.4,0.0,0.014449549756249944
7,6.4,12.8,0.05,0.02580335839766392
8,12.8,25.6,0.2,0.037149538050791346
