j,period_min_s,period_max_s,theta_hat_s,contrast_peak
1,0.1,0.2,0.0,0.00011610020264781528
2,0.2,0.4,0.0,0.00020554997423274091
3,0.4,0.8,-0.05,0.0006372492634835042
4,0.8,1.6,-0.05,0.0022116260396808814
5,1.6,3.2,-0.1,0.006209467547884449
6,3.2,6.4,-0.25,0.01940945159879
7,6.4,12.8,-0.35000000000000003,0.06075423205229482
8,12.8,25.6,-0.7000000000000001,0.14893675093943984
