j,period_min_s,period_max_s,theta_hat_s,contrast_peak
1,0.1,0.2,0.0,8.605920323583614e-05
2,0.2,0.4,0.0,0.00018863840827121925
3,0.4,0.8,0.0,0.0005082267622656686
4,0.8,1.6,0.0,0.0013959025867764834
5,1.6,3.2,0.05,0.0032477566919844993
6,3.2,6.4,0.05,0.006135917090468261
7,6.4,12.8,0.0,0.009619343865987296
8,12.8,25.6,0.0,0.011374336857584107
