j,period_min_s,period_max_s,theta_hat_s,contrast_peak
1,0.1,0.2,0.0,4.187148328587063e-05
2,0.2,0.4,0.0,7.748440201162305e-05
3,0.4,0.8,0.0,0.00019137652048368175
4,0.8,1.6,0.05,0.0006100680582939906
5,1.6,3.2,0.05,0.0015588719547167565
6,3.2,6.4,0.1,0.0032345540420290943
7,6.4,12.8,0.15000000000000002,0.00563320553507169
8,12.8,25.6,0.25,0.00785833719942573
