j,period_min_s,period_max_s,theta_hat_s,contrast_peak
1,0.1,0.2,-0.05,0.0002999455912077073
2,0.2,0.4,-0.1,0.00045463549783076213
3,0.4,0.8,-0.1,0.0013079563822640996
4,0.8,1.6,-0.2,0.0030962810182296246
5,1.6,3.2,-0.30000000000000004,0.006650417822178458
6,3.2,6.4,-0.6000000000000001,0.013928171209681133
7,6.4,12.8,-1.05,0.028401349525948735
8,12.8,25.6,-1.7000000000000002,0.05334233261168167
