j,period_min_s,period_max_s,theta_hat_s,contrast_peak
1,0.1,0.2,-0.05,0.00015703705142091346
2,0.2,0.4,-0.15000000000000002,0.00042079508764094676
3,0.4,0.8,-0.2,0.0012785628384144787
4,0.8,1.6,-0.30000000000000004,0.0036239652507332977
5,1.6,3.2,-0.5,0.009610857070186354
6,3.2,6.4,-0.8,0.024303738761211634
7,6.4,12.8,-1.25,0.0584382305435901
8,12.8,25.6,-1.9500000000000002,0.12379601519369116
