j,period_min_s,period_max_s,theta_hat_s,contrast_peak
1,0.1,0.2,0.0,0.00013063155719128484
2,0.2,0.4,0.0,0.00032089709705455905
3,0.4,0.8,0.05,0.0009806881461021726
4,0.8,1.6,0.1,0.002977928896298684
5,1.6,3.2,0.25,0.0083062121349733
6,3.2,6.4,0.55,0.018285058662130503
7,6.4,12.8,0.9500000000000001,0.042529917418869245
8,12.8,25.6,1.1500000000000001,0.11779446106688715
