j,period_min_s,period_max_s,theta_hat_s,contrast_peak
1,0.1,0.2,0.45,5.068032614139708e-06
2,0.2,0.4,0.05,1.748729054994497e-05
3,0.4,0.8,0.0,6.447166864528316e-05
4,0.8,1.6,0.0,0.0003075970934024524
5,1.6,3.2,0.0,0.0012763731324272436
6,3.2,6.4,-0.05,0.0035818719962218606
7,6.4,12.8,-0.1,0.007501626156980082
8,12.8,25.6,-0.1,0.012029136937126178
