j,period_min_s,period_max_s,theta_hat_s,contrast_peak
1,0.1,0.2,-0.1,0.0012753393519621176
2,0.2,0.4,0.0,0.006724023379756802
3,0.4,0.8,0.0,0.021156376795705305
4,0.8,1.6,0.0,0.04807687662983673
5,1.6,3.2,0.05,0.0832899667921233
6,3.2,6.4,0.15000000000000002,0.12976720403269443
7,6.4,12.8,0.25,0.18574203818971555
8,12.8,25.6,0.4,0.21648673118484918
