j,period_min_s,period_max_s,theta_hat_s,contrast_peak
1,0.1,0.2,-0.05,0.0001044549816016054
2,0.2,0.4,-0.05,0.00033827443053574286
3,0.4,0.8,0.0,0.0011534471511116134
4,0.8,1.6,0.0,0.0031382426968914736
5,1.6,3.2,-0.05,0.006997622979645573
6,3.2,6.4,-0.05,0.013700848937114226
7,6.4,12.8,-0.05,0.02216862868249858
8,12.8,25.6,0.0,0.03139485879286935
