j,period_min_s,period_max_s,theta_hat_s,contrast_peak
1,0.02,0.04,-0.55,2.5702876763415286e-07
2,0.04,0.08,0.03,6.460163628265733e-07
3,0.08,0.16,-0.59,2.0888988927691714e-06
4,0.16,0.32,-0.06,4.235498067775768e-06
5,0.32,0.64,-0.8,1.2259434888616823e-05
6,0.64,1.28,-1.76,2.079481096920921e-05
