j,period_min_s,period_max_s,theta_hat_s,contrast_peak
1,0.1,0.2,-0.1,2.033989698455706e-05
2,0.2,0.4,0.0,6.956876975312671e-05
3,0.4,0.8,0.0,0.00025440113911380415
4,0.8,1.6,0.0,0.0007708663440941657
5,1.6,3.2,0.0,0.0018433046376439169
6,3.2,6.4,0.0,0.0037412341400322605
7,6.4,12.8,0.0,0.0065943409870109606
8,12.8,25.6,0.15000000000000002,0.009405705119391154
