j,period_min_s,period_max_s,theta_hat_s,contrast_peak
1,0.1,0.2,-0.05,0.0006551729472097191
2,0.2,0.4,-0.05,0.00199162727174551
3,0.4,0.8,-0.05,0.00637119953679777
4,0.8,1.6,-0.05,0.015925604174814954
5,1.6,3.2,0.0,0.030838635299289405
6,3.2,6.4,0.0,0.05061018880029168
7,6.4,12.8,0.0,0.07422818986577101
8,12.8,25.6,0.1,0.09162308350537886
