j,period_min_s,period_max_s,theta_hat_s,contrast_peak
1,0.1,0.2,-0.05,0.0004838273646960625
2,0.2,0.4,-0.15000000000000002,0.0013393811915028654
3,0.4,0.8,-0.2,0.004588024951011042
4,0.8,1.6,-0.30000000000000004,0.014172973227222177
5,1.6,3.2,-0.4,0.04175569259039262
6,3.2,6.4,-0.55,0.11100177843092349
7,6.4,12.8,-0.75,0.26264537829591406
8,12.8,25.6,-1.1500000000000001,0.5160476593987324
