j,period_min_s,period_max_s,theta_hat_s,contrast_peak
1,0.1,0.2,0.4,1.5949775999747392e-06
2,0.2,0.4,0.45,4.482884093227509e-06
3,0.4,0.8,-0.30000000000000004,1.420707317080883e-05
4,0.8,1.6,0.05,9.295384131216542e-05
5,1.6,3.2,0.0,0.000310936845014592
6,3.2,6.4,-0.05,0.0008654639874816489
