j,period_min_s,period_max_s,theta_hat_s,contrast_peak
1,0.1,0.2,-0.05,3.555315990179248e-05
2,0.2,0.4,-0.15000000000000002,0.00010460947784579057
3,0.4,0.8,-0.2,0.00032445788341834927
4,0.8,1.6,-0.30000000000000004,0.0008924791731712951
5,1.6,3.2,-0.45,0.0024990566152747343
6,3.2,6.4,-0.7000000000000001,0.006443797794556111
7,6.4,12.8,-1.05,0.015487071937225396
8,12.8,25.6,-1.55,0.032629225815922966
