scenario,vol,p1,p2,path,seed,estimator,j,theta_hat,n1,n2
constant_sync,constant,0.0,0.0,8,1506253675,HK_HY_non_sync,4,1.0,8193,8193
constant_sync,constant,0.0,0.0,8,1506253675,HK_HY_non_sync,5,1.0,8193,8193
constant_sync,constant,0.0,0.0,8,1506253675,HK_HY_non_sync,6,1.0,8193,8193
constant_sync,constant,0.0,0.0,8,1506253675,HK_HY_non_sync,7,0.0,8193,8193
constant_sync,constant,0.0,0.0,8,1506253675,HK_HY_non_sync,8,4.0,8193,8193
constant_sync,constant,0.0,0.0,9,113298368,HK_HY_non_sync,1,1.0,8193,8193
constant_sync,constant,0.0,0.0,9,113298368,HK_HY_non_sync,2,1.0,8193,8193
constant_sync,constant,0.0,0.0,9,113298368,HK_HY_non_sync,3,1.0,8193,8193
constant_sync,constant,0.0,0.0,9,113298368,HK_HY_non_sync,4,1.0,8193,8193
constant_sync,constant,0.0,0.0,9,113298368,HK_HY_non_sync,5,1.0,8193,8193
constant_sync,constant,0.0,0.0,9,113298368,HK_HY_non_sync,6,3.0,8193,8193
constant_sync,constant,0.0,0.0,9,113298368,HK_HY_non_sync,7,-5.0,8193,8193
constant_sync,constant,0.0,0.0,9,113298368,HK_HY_non_sync,8,-18.0,8193,8193
constant_sync,constant,0.0,0.0,10,219539716,HK_HY_non_sync,1,1.0,8193,8193
constant_sync,constant,0.0,0.0,10,219539716,HK_HY_non_sync,2,1.0,8193,8193
constant_sync,constant,0.0,0.0,10,219539716,HK_HY_non_sync,3,1.0,8193,8193
constant_sync,constant,0.0,0.0,10,219539716,HK_HY_non_sync,4,1.0,8193,8193
constant_sync,constant,0.0,0.0,10,219539716,HK_HY_non_sync,5,2.0,8193,8193
constant_sync,constant,0.0,0.0,10,219539716,HK_HY_non_sync,6,1.0,8193,8193
constant_sync,constant,0.0,0.0,10,219539716,HK_HY_non_sync,7,1.0,8193,8193
constant_sync,constant,0.0,0.0,10,219539716,HK_HY_non_sync,8,1.0,8193,8193
constant_sync,constant,0.0,0.0,11,1599278428,HK_HY_non_sync,1,1.0,8193,8193
constant_sync,constant,0.0,0.0,11,1599278428,HK_HY_non_sync,2,1.0,8193,8193
constant_sync,constant,0.0,0.0,11,1599278428,HK_HY_non_sync,3,2.0,8193,8193
constant_sync,constant,0.0,0.0,11,1599278428,HK_HY_non_sync,4,1.0,8193,8193
constant_sync,constant,0.0,0.0,11,1599278428,HK_HY_non_sync,5,2.0,8193,8193
constant_sync,constant,0.0,0.0,11,1599278428,HK_HY_non_sync,6,-1.0,8193,8193
constant_sync,constant,0.0,0.0,11,1599278428,HK_HY_non_sync,7,-2.0,8193,8193
constant_sync,constant,0.0,0.0,11,1599278428,HK_HY_non_sync,8,-8.0,8193,8193
constant_sync,constant,0.0,0.0,12,338715847,HK_HY_non_sync,1,1.0,8193,8193
constant_sync,constant,0.0,0.0,12,338715847,HK_HY_non_sync,2,1.0,8193,8193
constant_sync,constant,0.0,0.0,12,338715847,HK_HY_non_sync,3,2.0,8193,8193
