j,period_min_s,period_max_s,theta_hat_s,contrast_peak
1,0.1,0.2,0.0,0.00017319306197325892
2,0.2,0.4,0.05,0.00024086322491242664
3,0.4,0.8,0.05,0.0008138331829551911
4,0.8,1.6,0.1,0.002361545280084885
5,1.6,3.2,0.15000000000000002,0.005132234413367214
6,3.2,6.4,0.2,0.00929718062495117
7,6.4,12.8,0.25,0.01402818548850484
8,12.8,25.6,0.35000000000000003,0.018290732504849118
