j,period_min_s,period_max_s,theta_hat_s,contrast_peak
1,0.1,0.2,-0.05,0.0001346211288210609
2,0.2,0.4,-0.15000000000000002,0.0004551298769664845
3,0.4,0.8,-0.2,0.0017608747189906114
4,0.8,1.6,-0.30000000000000004,0.004737700968101838
5,1.6,3.2,-0.5,0.012716318196281124
6,3.2,6.4,-0.8,0.032050681542340795
7,6.4,12.8,-1.3,0.0721578928024654
8,12.8,25.6,-2.0,0.13913348582148627
