j,period_min_s,period_max_s,theta_hat_s,contrast_peak
1,0.1,0.2,0.0,5.739999270930928e-05
2,0.2,0.4,0.0,0.00010364965211855413
3,0.4,0.8,0.05,0.0002641446480126044
4,0.8,1.6,0.05,0.0007560705246994505
5,1.6,3.2,0.1,0.0017937358279318835
6,3.2,6.4,0.1,0.0037756404340946953
7,6.4,12.8,0.15000000000000002,0.006710257055317331
8,12.8,25.6,0.2,0.009194571812667338
