j,period_min_s,period_max_s,theta_hat_s,contrast_peak
1,0.1,0.2,0.05,5.2890258278181845e-05
2,0.2,0.4,0.05,7.007641480580074e-05
3,0.4,0.8,0.1,0.00023024985362340088
4,0.8,1.6,0.1,0.0006731222872159652
5,1.6,3.2,0.15000000000000002,0.0013966146140571684
6,3.2,6.4,0.2,0.0024143310064797282
7,6.4,12.8,0.25,0.0035450929093765694
8,12.8,25.6,0.35000000000000003,0.004577928539765025
