j,period_min_s,period_max_s,theta_hat_s,contrast_peak
1,0.1,0.2,0.05,0.0001892892919970796
2,0.2,0.4,0.05,0.0006521773136255757
3,0.4,0.8,0.05,0.0017343280715459524
4,0.8,1.6,0.1,0.0040232267737001955
5,1.6,3.2,0.1,0.008282125753989091
6,3.2,6.4,0.15000000000000002,0.015553010556198428
7,6.4,12.8,0.25,0.02608924322728127
8,12.8,25.6,0.4,0.035963198932800644
