j,period_min_s,period_max_s,n_days,median_s,mean_s,q25_s,q75_s,pct_neg,pct_zero,pct_pos
1,0.1,0.2,31,-0.05,-0.24999999999999994,-0.07500000000000001,-0.05,93.54838709677419,6.451612903225806,0.0
2,0.2,0.4,31,-0.05,-0.027419354838709685,-0.05,0.0,61.29032258064516,35.483870967741936,3.225806451612903
3,0.4,0.8,31,-0.05,-0.02580645161290323,-0.05,0.0,54.83870967741935,41.935483870967744,3.225806451612903
4,0.8,1.6,31,0.0,-0.022580645161290328,-0.05,0.0,45.16129032258064,48.38709677419355,6.451612903225806
5,1.6,3.2,31,-0.05,-0.030645161290322586,-0.05,0.0,58.06451612903226,35.483870967741936,6.451612903225806
6,3.2,6.4,31,-0.05,-0.046774193548387105,-0.1,0.0,67.74193548387096,16.129032258064516,16.129032258064516
7,6.4,12.8,31,-0.1,-0.045161290322580656,-0.15000000000000002,0.025,64.51612903225806,9.67741935483871,25.806451612903224
8,12.8,25.6,31,0.0,-0.04193548387096776,-0.2,0.125,45.16129032258064,12.903225806451612,41.935483870967744
