j,period_min_s,period_max_s,theta_hat_s,contrast_peak
1,0.002,0.004,-0.115,2.0683949940952595e-07
2,0.004,0.008,0.091,4.5745787144025064e-07
3,0.008,0.016,0.009000000000000001,8.98768131847184e-07
4,0.016,0.032,0.115,1.1601521282078186e-06
5,0.032,0.064,0.031,3.125962927225532e-06
6,0.064,0.128,0.067,8.599856040664068e-06
7,0.128,0.256,-0.063,3.434300778376863e-05
8,0.256,0.512,-0.07,8.96812801325323e-05
