j,period_min_s,period_max_s,theta_hat_s,contrast_peak
1,0.1,0.2,0.0,0.0007399517259411701
2,0.2,0.4,0.2,0.0008816636579903798
3,0.4,0.8,0.05,0.002055171071137542
4,0.8,1.6,0.05,0.00519934658038107
5,1.6,3.2,0.1,0.010072412800201984
6,3.2,6.4,0.1,0.018356654419756077
7,6.4,12.8,0.1,0.02686788356515802
8,12.8,25.6,0.2,0.035541640184973355
