j,period_min_s,period_max_s,theta_hat_s,contrast_peak
1,0.1,0.2,-0.05,8.59496982638495e-05
2,0.2,0.4,-0.1,0.0001228978880760284
3,0.4,0.8,-0.1,0.000339014309485095
4,0.8,1.6,-0.2,0.0007984935738854604
5,1.6,3.2,-0.30000000000000004,0.0017082244442740116
6,3.2,6.4,-0.6000000000000001,0.003562259537992855
7,6.4,12.8,-0.9500000000000001,0.007109646578589694
8,12.8,25.6,-1.55,0.013288789902938393
