j,period_min_s,period_max_s,theta_hat_s,contrast_peak
1,0.1,0.2,-0.1,0.00028328701360532933
2,0.2,0.4,0.0,0.0015825469420275952
3,0.4,0.8,0.0,0.005073832174864951
4,0.8,1.6,0.0,0.012455170151153916
5,1.6,3.2,0.0,0.026246573059429117
6,3.2,6.4,0.05,0.048032018663380555
7,6.4,12.8,0.05,0.0757136111920719
8,12.8,25.6,0.1,0.103757365107431
