j,period_min_s,period_max_s,theta_hat_s,contrast_peak
1,0.1,0.2,0.05,5.5434830102732386e-05
2,0.2,0.4,0.05,0.00019975439894743462
3,0.4,0.8,0.05,0.0005215423010497845
4,0.8,1.6,0.1,0.0012343223430725928
5,1.6,3.2,0.1,0.0025408549977920004
6,3.2,6.4,0.15000000000000002,0.00468266134529205
7,6.4,12.8,0.25,0.007615504032114931
8,12.8,25.6,0.35000000000000003,0.010287919415974182
